player_name,headshots,height,age,weight_lb,positional_size,wingspan,origin
austin-reaves,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630559.png,6'4.5,25,197,C-,"6'6.25""","Newark, AR"
brandon-clarke,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629634.png,6'7.25,27,215,D,"6'8.25""","Phoenix, AZ"
dennis-smith-jr.,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628372.png,6'1.25,26,205,C,"6'3""","Fayetteville, NC"
drew-eubanks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629234.png,6'9,26,245,D+,"6'11""","Troutdale, OR"
duncan-robinson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629130.png,6'6.75,29,215,C-,,"York, ME"
brandon-ingram,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627742.png,6'7,26,190,B,"7'3""","Kinston, NC"
devonte-graham,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628984.png,6'0.25,28,195,C-,"6'6.25""","Raleigh, NC"
dwight-powell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203939.png,6'9.5,32,240,D+,"7'0.5""","Toronto, Canada"
dyson-daniels,https://cdn.nba.com/headshots/nba/latest/260x190/1630700.png,6'6,20,195,B+,"6'10.5""","Bendigo, Australia"
e.j.-liddell,https://cdn.nba.com/headshots/nba/latest/260x190/1630604.png,6'5.5,23,243,C-,"6'11.75""","Belleville, IL"
desmond-bane,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630217.png,6'5,25,215,C+,"6'4.25""","Richmond, IN"
eric-gordon,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201569.png,6'2,35,215,C,"6'9""","Indianapolis, IN"
evan-fournier,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203095.png,6'6.5,31,205,B,"6'7.5""","Saint-Maurice, France"
evan-mobley,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630596.png,6'11,22,215,A-,"7'4""","San Diego, CA"
frank-ntilikina,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628373.png,6'4,25,200,A,"7'1""","Ixelles, Belgium"
franz-wagner,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630532.png,6'9,22,220,A-,"6'11.5""","Berlin, Germany"
boban-marjanovic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626246.png,7'4,35,290,A+,"7'10""","Zajecar, Serbia"
fred-vanvleet,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627832.png,6'0,29,197,D+,"6'2""","Rockford, IL"
furkan-korkmaz,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627788.png,6'6.5,26,202,B+,"6'10""","Istanbul, Turkey"
gabe-vincent,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629216.png,6'3,27,200,D,,"Modesto, CA"
garrett-temple,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202066.png,6'5,37,195,D-,,"Baton Rouge, LA"
garrison-mathews,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629726.png,6'4.75,27,215,C+,,"Franklin, TN"
gary-harris,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203914.png,6'2.5,29,210,D+,"6'6.75""","Fishers, IN"
gary-trent-jr.,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629107.png,6'4.25,25,209,B-,"6'8.75""","Columbus, OH"
giannis-antetokounmpo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png,6'11,29,242,A,"7'3""","Athens, Greece"
goga-bitadze,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629048.png,6'10.5,24,250,C+,"7'2""","Sagarejo, Georgia"
gordon-hayward,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202330.png,6'6.75,33,225,C+,"6'7.75""","Indianapolis, IN"
grant-williams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629684.png,6'5.75,25,236,D+,"6'9.75""","Houston, TX"
brook-lopez,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201572.png,6'11.25,35,282,A-,"7'5.5""","North Hollywood, CA"
dillon-brooks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628415.png,6'5,28,225,D+,"6'6""","Mississauga, Canada"
gary-payton-ii,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627780.png,6'2,31,195,D,"6'8""","Seattle, WA"
damian-jones,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627745.png,6'10.25,28,245,B-,"7'3.75""","Baton Rouge, LA"
