player_name,headshots,offensive_role,defensive_role
austin-reaves,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630559.png,Secondary Ballhandler,On Ball Stopper
brandon-clarke,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629634.png,,
brandon-ingram,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627742.png,Secondary Ballhandler,On Ball Stopper
david-roddy,https://cdn.nba.com/headshots/nba/latest/260x190/1631223.png,Spotup Wing,Off Ball Wing
boban-marjanovic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626246.png,,Hidden
brook-lopez,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201572.png,,Hang Back Big
damian-jones,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627745.png,Spotup Wing,Hang Back Big
andre-drummond,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203083.png,Versatile Big,Hang Back Big
bruno-fernando,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628981.png,Roll/Cut Big,Hang Back Big
bruce-brown,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png,Glue Guy,On Ball Stopper
bryce-mcgowens,https://cdn.nba.com/headshots/nba/latest/260x190/1631121.png,Spotup Wing,Hidden
danilo-gallinari,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201568.png,,Versatile D Big
caleb-martin,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628997.png,Spotup Wing,On Ball Stopper
darius-garland,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629636.png,Primary Ballhandler,On Ball Stopper
andrew-nembhard,https://cdn.nba.com/headshots/nba/latest/260x190/1629614.png,Secondary Ballhandler,On Ball Stopper
andrew-wiggins,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203952.png,Glue Guy,On Ball Stopper
cam-thomas,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630560.png,Secondary Ballhandler,Off Ball Wing
al-horford,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png,Tall Spotup,Versatile D Big
caris-levert,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627747.png,Secondary Ballhandler,On Ball Stopper
corey-kispert,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630557.png,Runaround Wing,Off Ball Wing
deaaron-fox,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628368.png,Secondary Ballhandler,On Ball Stopper
cory-joseph,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202709.png,Spotup Wing,Hidden
cedi-osman,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626224.png,Spotup Wing,Versatile D Big
bobby-portis,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626171.png,Versatile Big,Versatile D Big
davis-bertans,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202722.png,Runaround Wing,Versatile D Big
cam-reddish,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629629.png,Spotup Wing,On Ball Stopper
cameron-johnson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629661.png,Spotup Wing,Off Ball Wing
aaron-nesmith,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630174.png,Spotup Wing,On Ball Stopper
buddy-hield,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627741.png,Glue Guy,On Ball Stopper
clint-capela,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203991.png,Roll/Cut Big,Hang Back Big
ayo-dosunmu,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630245.png,Spotup Wing,On Ball Stopper
larry-nance-jr.,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626204.png,Pick n Pop Big,Hang Back Big
