,player_name,headshots,ts_value,ts_percentile,sq_value,sq_percentile,ftr_value,ftr_percentile,three_par_value,three_par_percentile,orb_value,orb_percentile,ctov_value,ctov_percentile,load_value,load_percentile,creation_value,creation_percentile,portability_value,portability_percentile,passer_rating_value,passer_rating_percentile,craftedopm_value,craftedopm_percentile,deflections_value,deflections_percentile,radtov_value,radtov_percentile,drb_value,drb_percentile,rim_defense_value,rim_defense_percentile,rim_frequency_value,rim_frequency_percentile,blkpct_value,blkpct_percentile,versatility_value,versatility_percentile,rpf_value,rpf_percentile,crafteddpm_value,crafteddpm_percentile
0,austin-reaves,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630559.png,61.6%,79,67.1,72,30%,73,43.9%,53,4.4,39,8.2%,46,38.9,82,6.9,86,7.2,84,7.4,90,1.5,90,1.4,18,-0.14,35,42,42,0.3,40,35.2,28,0.7,17,57,57,-0.79,86,-0.9,19
0,brandon-ingram,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627742.png,57.7%,55,59.4,53,30.5%,74,23.7%,21,5.1,19,7.8%,54,48.4,94,9.1,93,5.2,58,6.8,84,1.3,89,1.7,34,-0.45,16,58,58,1.5,33,35.9,35,1.9,63,80,80,-0.28,67,-0.2,42
0,david-roddy,https://cdn.nba.com/headshots/nba/latest/260x190/1631223.png,48.5%,10,32.8,14,16.7%,31,40.2%,46,3.4,82,9.5%,25,25.3,46,1.8,38,0.3,8,2.8,27,-2.6,2,1.8,39,-0.2,32,32,32,-5.3,77,42.7,78,0.9,27,94,94,-0.64,81,-1.2,12
0,boban-marjanovic,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626246.png,50.1%,13,null,0,37.5%,87,8.3%,12,1.9,90,null%,100,,0,,1,,0,,0,-2.1,7,1.3,13,-0.25,29,100,100,-36.6,100,12.9,0,1.7,57,3,3,0.48,34,0.2,59
0,brook-lopez,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201572.png,60.7%,76,64.3,65,17.8%,37,53.6%,72,5.2,83,7%,69,21.5,29,1.6,31,6,72,3.1,33,-0.3,63,1.7,34,-1.44,0,78,78,-9.3,92,38.6,56,6.7,98,9,9,0.09,48,2.3,96
0,damian-jones,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627745.png,66%,93,44.4,24,32.3%,78,18.5%,17,1.7,32,12.5%,7,20.8,25,1.6,31,4.3,46,2.5,23,-1.5,22,1.3,13,-0.24,30,32,32,-9.6,93,35.9,35,4.3,91,19,19,0.97,21,0.9,77
0,andre-drummond,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203083.png,57.1%,50,7.4,7,45.4%,95,0.7%,5,8.9,100,12.1%,9,24.9,44,1.7,35,0.4,9,0,0,-0.2,66,3.2,89,0.8,94,85,85,-2.5,62,38.1,52,3.8,89,9,9,0.93,21,0.6,70
0,bruno-fernando,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628981.png,61.5%,79,36.6,15,45.8%,95,2.8%,8,4.3,95,14.7%,2,22.5,34,1.6,31,1.8,21,1.9,15,-1.7,17,1.9,44,-0.65,8,87,87,-1.5,55,49.8,98,4.5,92,2,2,2.65,2,0.8,75
0,bruce-brown,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png,56%,40,55.6,45,24.2%,57,28.6%,26,4.4,80,8.1%,47,27.1,51,2.8,55,3.6,37,5.2,64,-1.3,29,2.3,61,0.17,70,17,17,2.5,27,42.6,77,0.8,22,82,82,0.03,50,-1.2,12
0,bryce-mcgowens,https://cdn.nba.com/headshots/nba/latest/260x190/1631121.png,57.1%,50,48,29,35.9%,86,46%,58,1.7,57,8%,50,19.9,21,1.2,20,1.6,19,3.2,34,-2.4,4,1.1,6,0.13,67,39,39,-4.4,72,38.4,54,0.8,22,51,51,0.45,34,-0.7,26
